یک مرد در حال راه رفتن در امتداد یک مسیر در بیابان است.	یک مرد در حال پوست کندن پیاز است.	0.15
آن مرد سوار دوچرخه است.	آن مرد سوار دوچرخه است.	1
یک خرگوش در حال خرناس کشیدن و چنگ زدن به یک عروسک خرگوش است.	یک خرگوش جاندار در حال بازی با یک عروسک حیوان دست	0.9
یک زن پیاز را می	یک زن پیاز را خرد می	0.84
یک نفر پوست میگو را می	یک نفر در حال آماده سازی میگو است.	0.72
یک مرد یک تکه از پیتزا پپرونی را از جعبه برداشته و سپس درپوش آن را گذاشته و جعبه پیتزا را می	یک مرد یک تکه از پیتزا پپرونی رابرداشته و از جعبه خارج می	0.55
یک زن کلم بروکلی را می	یک زن کلم بروکلی را خرد می	1
سگ در مقابل اسباب بازی پارس می	سک در مقابل یک اسباب بازی پارس می	1
شخصی نان را جمع می	یک مرد نان را جمع می	0.7
گربه شیر را می	بچه گربه شیر را می	0.8
شخصی با خودرو رانندگی می	یک مرد با خودرو رانندگی می	0.7
یک زن عینک آفتابی می	یک زن عینک آفتابی زده است.	1
مرد گیتار می	یک مرد گیتار می	1
یک مرد پیاز می	یک مرد بارهنگ می	0.7334
یک مرد گوجه را خرد می	یک زن گوجه را پوست می	0.4666
یک زن گوجه را خرد می	یک زن هویج را خرد می	0.5
یک مرد گیتار می	یک مرد گیتار زده است.	1
زن در حال دویدن است.	دو زن در حال دویدن هستند.	0.7648
یک زن با انگشتانش روی میز ضربه می	یک زن با انگشتانش ضربه می	0.8
فردی بامیه را در قابلمه می	فردی بامیه را در ماهیتابه می	0.88
یک مرد سیگار می	یک مرد مخلوط می	0.04
مرد طبل می	یک مرد طبل می	1
یک مرد در حال غواصی در استخر است.	یک مرد در استخر غواصی می	1
شخصی اختاپوس را خرد می	شخصی گوش	0.4
یک مرد و یک زن سوار موتورسیکلت هستند.	یک زن و یک مرد سوار دوچرخه هستند.	0.4
یک مرد برنج را در ماهیتابه ریخت.	یک مرد برنج را در یک قابلمه ریخت.	0.76
دو مرد در یک چراگاه با یکدیگر مبارزه می	دو مرد در یک اصطبل با یکدیگر مبارزه می	0.8
یک زن روغن را به ماهیتابه اضافه می	یک مرد روغن را داخل ماهیتابه می	0.6
یک دختر تختش را مرتب می	یک دختر جوان تختش را تمیز می	0.88
گربه با هندوانه بازی می	یک گربه با هندوانه بازی می	0.96
یک دختر روی خودرو می	یک دختر بر روی خودرو 	0.96
یک مرد در حال شکستن تخته چوب با دستش است.	یک مرد در حال شکستن کاشی با دستش است.	0.5
یک دختر گیتار می	یک دختر در حال زدن یک پیانو است.	0.4
یک مرد در حال عبادت است.	یک مرد در حال رقصیدن است.	0.15
یک مرد در حال عبادت است.	یک مرد در حال دویدن است.	0.1454
خودرو پارک شده است.	گربه در حال بازی است.	0
