مرد حال راه رفتن امتداد مسیر بیابان,مرد حال پوست کندن پیاز
مرد سوار دوچرخه,مرد سوار دوچرخه
خرگوش حال خرناس کشیدن چنگ زدن عروسک خرگوش,خرگوش جاندار حال بازی عروسک حیوان دست
زن پیاز,زن پیاز خرد
نفر پوست میگو,نفر حال آماده سازی میگو
مرد تکه پیتزا پپرونی جعبه برداشته درپوش گذاشته جعبه پیتزا,مرد تکه پیتزا پپرونی رابرداشته جعبه خارج
زن کلم بروکلی,زن کلم بروکلی خرد
سگ مقابل اسباب بازی پارس,سک مقابل اسباب بازی پارس
شخصی نان جمع,مرد نان جمع
گربه شیر,بچه گربه شیر
شخصی خودرو رانندگی,مرد خودرو رانندگی
زن عینک آفتابی,زن عینک آفتابی زده
مرد گیتار,مرد گیتار
مرد پیاز,مرد بارهنگ
مرد گوجه خرد,زن گوجه پوست
زن گوجه خرد,زن هویج خرد
مرد گیتار,مرد گیتار زده
زن حال دویدن,دو زن حال دویدن
زن انگشتانش روی میز ضربه,زن انگشتانش ضربه
فردی بامیه قابلمه,فردی بامیه ماهیتابه
مرد سیگار,مرد مخلوط
مرد طبل,مرد طبل
مرد حال غواصی استخر,مرد استخر غواصی
شخصی اختاپوس خرد,شخصی گوش
مرد زن سوار موتورسیکلت,زن مرد سوار دوچرخه
مرد برنج ماهیتابه ریخت,مرد برنج قابلمه ریخت
دو مرد چراگاه یکدیگر مبارزه,دو مرد اصطبل یکدیگر مبارزه
زن روغن ماهیتابه اضافه,مرد روغن داخل ماهیتابه
دختر تختش مرتب,دختر جوان تختش تمیز
گربه هندوانه بازی,گربه هندوانه بازی
دختر روی خودرو,دختر روی خودرو
مرد حال شکستن تخته چوب دستش,مرد حال شکستن کاشی دستش
دختر گیتار,دختر حال زدن پیانو
مرد حال عبادت,مرد حال رقصیدن
مرد حال عبادت,مرد حال دویدن
خودرو پارک,گربه حال بازی
مرد حال دویدن,مرد حال رقصیدن
مرد حال دویدن,مرد حال آواز خواندن
مرد مرد دیگری روی شانه,مرد فردی روی شانه
زن سیب,زن گوجه خرد
زن گوجه برش,زن سیب
شخصی سیب,شخصی گوجه خرد
زن سیب,زن گوجه خرد
دو پسر روی نیمکت لپ,دو پسر لپ
مرد جنگل گردش,مرد جنگل ردیابی
شخصی پودر فلفل فلفل همراه حبوبات اضافه,مرد ادویه حبوبات اضافه
زن لیمو فشار,زن لیمو خارج آب فشار
مرد پیانو,مرد ویولن
کودک حال پیانو زدن,مرد حال زدن پیانو
بچه فیل حال خوردن,بچه فیل حال خوردن نهال
شخصی پوست سیب,مرد پوست سیب
شخصی حال پیانو زدن,شخصی حال خرد سیب
زن حال شکستن تخم,زن حال شکستن تخم مرغ
شخصی رایانه بازی,کودک رایانه بازی
پسر شمشیر مرد صدمه زد,پسر شمشیر پلاستیکی مرد ضربه زد
شخصی هویج قطعه خرد,شخصی پیاز قطعه برش داد
مرد چاقو بطری آب تکه برش داد,مرد چاقو خط بطری آب برش داد
فردی حال سرخ گوشت,فردی حال نواختن پیانو
مرد سرعت چاقو مقداری قارچ خرد,شخصی مقداری قارچ سریع چاقو خرد
زن مواد داخل کاسه اضافه,زن سه عدد تخم
اسکیت باز سطح شیبدار اسکیت تمرین,مرد سطح شیبدار اسکیت
مرد روی صحنه صحبت,مرد پشت تریبون صحبت
مرد حال اجرای گیتار,مرد کلاه حال اجرای چنگ
مرد حال نواختن پیانو,مرد حال اجرای گیتار
شخصی حال برش زدن سیب,شخصی حال خرد موسیر
مرد حال نواختن طبل,مرد حال اجرای گیتار
فردی حال ادویه زدن تخم,فردی حال ادویه زدن دو تخم
